video,text
2,guess help or suggestion you get from
2,faculty so I passed mine on the first
2,time so this didn't apply to me but I
2,know many people who didn't and for the
2,people that didn't a lot of times the
2,professors in my department were very
2,helpful they would say well you didn't
2,pass because of X Y & Z and this is kind
2,of what you need to improve on to pass
2,the next time some departments don't
2,really give you that guidance they kind
2,of just marked down your score and
2,you're left to your own devices to
2,figure it out
2,but once you do pass your prelims you
2,have one last part which is an oral
2,component and a lot of people will refer
2,to this as your proposal now what if
2,what is a proposal think of this is the
2,if you think about your dissertation as
2,a final paper that you publish your
2,proposal is sort of the grant that
2,you're writing to do the project so this
2,is where you sit down with your
2,committee and you introduce to them the
2,topic that you're gonna be researching
2,why it's important what preliminary data
2,you've already generated and kind of
2,what are your aims so m1 a1 b2 a2 b2 C
2,etc and you outline what it is that you
2,want to do and you give a presentation
2,that's you know about an hour in length
2,and afterwards the professors on your
2,committee are gonna ask questions and a
2,lot of the questions although they can
2,be about general science a lot of the
2,questions are gonna be geared towards
2,the research so what will you do if
2,experiment X and aim 1a doesn't work how
2,will you go about that
2,what are alternative strategies so these
2,are things that you should be keeping in
2,mind as you prepare and we'll make an
2,entire video dedicated to your prelims
2,into your oral proposal because these
2,are very important parts of your
2,graduate school experience an area that
2,frankly a lot of students really
2,struggle with more than the desert
2,itself so this is an area we're gonna
2,focus heavily on and then after that you
2,are no longer just you know a graduate
2,student now you're a PhD candidate
2,you've been admitted to candidacy once
2,you pass this part so what does that
2,mean
2,that means that you are sometimes
2,referred to as abd all the dissertation
2,it means all that you have left in your
2,requirements is to fill out a sheet that
2,says I've done my dissertation hours and
2,you need to write your dissertation and
2,defend it and so the dissertation what
2,is a dissertation and again we'll have
2,an entire video dedicated to what is a
2,dissertation because this is a really
2,important thing so your dissertation is
2,the accumulation of all the research
2,that you've done throughout graduate
2,school and you put it together and it
2,gets bound up into a nice book and
2,dissertations for PhDs typically range
2,from a hundred to 250 pages so I've seen
2,them anywhere in there I think mine was
2,a hundred sixty or a hundred seventy
2,pages and the dissertation is going to
2,encompass a general introduction that's
2,typically 20 to 40 pages of kind of the
2,scope of the field and where you
2,envision your work fitting into that
2,field and a lot of times it gets written
2,in a very grandiose way but it's sort of
2,highlighting where your work fits in and
2,then you'll have your research that all
2,gets smashed in there with your methods
2,or results and then you're gonna have an
2,overall discussion how does your
2,research fit into the grander scheme of
2,things and once you've written that
2,you'll submit it to your committee and
2,you'll have your defense date and your
2,defense date you'll give a presentation
2,about the research that you've done and
2,by this point your committee is senior
2,or should have seen your presentation
2,not the specific one you'll give on your
2,defense but over time they should have
2,seen multiple times kind of what it is
2,that you've been working on so they
2,already have a good idea and
2,they're going to afterwards ask
2,questions and the questions can be
2,general science related so I've seen
2,people that have reached back and asked
2,questions about what you studied in
2,biochem the first year but for the most
2,part the questions are going to be more
2,focused about what is it that happened
2,in your research what did you learn what
2,areas could you improve on if you were
2,to go back and do it again what would
2,you do differently and so this is kind
2,of what the focus is how it differs from
2,a master's student really the biggest
2,difference is the preliminary exams so
2,you don't have to take preliminary exams
2,as a master's student you typically
2,don't have to take as many of the
2,advanced courses you usually just take
2,more of the general courses that
2,everybody takes and the amount of
2,research you need in your dissertation
2,is much less so I would say typically a
2,master's student will take about three
2,years to finish and a PhD student will
2,take about five to six years and this
2,varies so my PhD lasted just around
2,three years so I was very fast but not
2,everybody will go that fast and that's
2,fine you could take three years you
2,could take six years one isn't more how
2,fast you finish your PhD is not
2,indicative of how successful you're
2,going to be and that's an important
2,thing to keep in mind
2,so what else encompasses a PhD because
2,that seems pretty straightforward right
2,you take your classes you do your
2,prelims and you do some research and
2,write your dissertation
2,so what else encompasses a PhD okay so
2,what else is involved is learning
2,experimental techniques so some of you
2,will have done research and your
2,undergrad but in a PhD you have to have
2,a whole new level of understanding of
2,how experiments work and you're gonna
2,have to learn many new experiments this
2,is going to be the majority of your time
2,is learning experiments and executing
2,those experiments other things that I
2,strongly suggest if your department does
2,not require it which most likely they
2,will you really need to publish your
2,work publishing your work is key the
2,easiest way to get your committee to
2,agree to let you defend is to say I've
2,already published my work it's been
2,published it's been through the
2,peer-review process and we're gonna have
2,a whole video dedicated to publishing
2,your work the other thing is that it is
2,paramount to finding a postdoc position
2,if you don't have a publication you will
2,not find a postdoc position and if you
2,don't have multiple publications it will
2,be hard to find a good postdoc position
2,so it's very very important to publish
2,this is maybe the most important thing
2,you will do in graduate school is to
2,publish first author work other things
2,that you can do that will help you in
2,terms of facilitating your graduation
2,and in finding a good postdoc position
2,they are applying for grants your PI
2,will help you and I will make a whole
2,video about applying for grants helping
2,your PI with peer review or helping your
2,PI write a review article if your PR is
2,going to be writing a review article ask
2,hey can I help co-author this
2,or you're reviewing a paper or the next
2,time you review a paper can I help these
2,are things that you could put on your CV
2,and we will have a video dedicated to
2,building your CV because this is an
2,important part of not just graduating
2,but finding that post our position and
2,then having a built a CV built up enough
2,that when you finish your postdoc it
2,looks sufficient to finding a faculty
2,position so all of this really goes into
2,the experience of graduate school I know
2,I threw a lot out there but each of
2,these are gonna become their own
2,separate videos but I just wanted to put
2,out a video explaining sort of an
2,overview of what graduate school will be
2,like so with that I want to thank you
2,please like the video subscribe and I'll
2,see you in the next one thanks
3,hi everybody welcome back to my channel
3,make sure to subscribe and hit the like
3,button so today what we're gonna be
3,doing is covering how to apply for a
3,postdoc position maybe your more senior
3,and you're about to apply for a postdoc
3,position or maybe you're more junior and
3,you're thinking about what do I need in
3,order to be successful in the future
3,when I do apply for a postdoc position
3,in either case I think that you're going
3,to find this video to be helpful or at
3,least I hope so
3,uh-huh so what is the process and what
3,should you do and so forth so I think
3,the first thing that anyone that is
3,ready to be applying for a postdoc
3,position should do is that they should
3,update their CV this is the most
3,important thing you're gonna be needing
3,to send your CV out and this is also
3,gonna help you in some other ways so
3,what are some things that are important
3,to have on your CV so of course your
3,education I would definitely include any
3,papers that you've published or that are
3,impressed or that are in preparation
3,what you need to do is you need to
3,demonstrate to your future p.i that
3,you're applying to join their lab that
3,you have some level of productivity and
3,the easiest way to judge that is how
3,much you've published the next thing you
3,need to do is add in presentations that
3,you've given highlight any awards that
3,you've won highlight any grants that
3,you've received you need to highlight
3,anything that you could think of even
3,experimental techniques sometimes P eyes
3,like to hire people that are in slightly
3,different fields because they have an
3,area of expertise that is not the same
3,as their lab so as an example I work in
3,a lab that deals with brown adipose
3,tissue and energy metabolism that's the
3,research that I do we recently hired a
3,new postdoc that specializes in
3,medicinal chemistry he basically does
3,analytical chemistry
3,specifically with lipids but we don't
3,have anyone in the lab that can do that
3,and it's very important for some of the
3,research areas that our lab is
3,endeavoring right now so highlighting
3,your techniques that you specialize in
3,it helps to market yourself
3,and I strongly suggest having your PI
3,and other committee members read over
3,your CV and ask for feedback
3,constructive feedback really ask what
3,can I do to make my CV more appealing
3,now when you apply for a postdoc your CV
3,is obviously not going to be as long as
3,your PI's and it's gonna look a little
3,different and that's fine what you need
3,to do is highlight your skills so
3,experimental and your productivity what
3,have you done in graduate school now
3,this is important for another reason and
3,the second reason is it's going to help
3,you assess where you should be applying
3,for a postdoc so this is something that
3,you and your ki I should definitely
3,discuss where is it appropriate for you
3,to be looking if you haven't published
3,anything you've done one seminar and an
3,obscure conference and you don't have a
3,lot else to put on your CV applying for
3,a position at Harvard is just not
3,realistic and it's not worth wasting
3,your time
3,the pis at Harvard get hundreds of
3,applications for postdocs so if you're
3,gonna spend time applying there you
3,should at least have a realistic chance
3,of getting a position there so after
3,you've completed your CV you should sit
3,down with your PA and you should discuss
3,where is it appropriate to apply for a
3,postdoc and what I mean by where is it
3,appropriate that takes into account two
3,things the first thing is the Institute
3,the second thing is the field so the
3,Institute is going to be sort of
3,determined by how your CV looks in the
3,lab that you're coming from so if you're
3,coming from a well-respected lab you can
3,lack a little bit in the CV if you're
3,coming from a less known lab you have to
3,have an even more stellar CV and you
3,need to assess the field so do you want
3,to stay in a field that's the exact same
3,so if you're in cancer biology and
3,you're currently studying breast cancer
3,do you want to stay in breast cancer do
3,you even want to stay in cancer do you
3,want to move to metabolite
3,so a good example is when I did my PhD I
3,was in an aging lab but I did aging
3,research that was related to metabolism
3,and I decided that I didn't quite want
3,to continue in aging because I felt I
3,already had an OK background what I
3,wanted to do was get a better feel for
3,metabolism so I switched to a metabolism
3,lab and that's totally fine people
3,switch fields sometimes people switch
3,fields completely so you need to kind of
3,decide where you want to go and when
3,you're doing this you need to keep a
3,couple of things in mind the work that
3,you do as a grad student is very
3,important and it really sets you up for
3,understanding how to do research but the
3,work that you do is a post document
3,that's the work that you're gonna take
3,with you if you go into academics so
3,knowing what field you're in is very
3,important the other thing is the PI they
3,are going to you want to go to a lab
3,that has a well-respected PI and we're
3,gonna get into that in a minute
3,so you've updated your CV and you've sat
3,down with your PI and said this is kind
3,of the area of research that I want to
3,go in and this is kind of the type of
3,Institute that I'm looking at and you
3,might need to keep in mind a couple
3,different institutes in that area so are
3,you gonna go to a tier one school like a
3,Harvard or Stanford a tier 2 school like
3,a University of Michigan or tiers three
3,school so these are things to keep in
3,mind once you've done that you need to
3,pick appropriate mentors so what do I
3,look for or what should you look for
3,when you're applying for a postdoc well
3,the first thing is how many postdocs are
3,in that lab um so there are labs that
3,have no postdocs one postdoc there's
3,some that are mid-sized that have five
3,or six and then there are some that have
3,more than ten postdocs this is important
3,for a few reasons the first reason is
3,how much attention can your PI give you
3,if you're somebody that's going to need
3,a lot of hand-holding or a lot of
3,attention
3,you don't want to go to a lab with 10
3,postdocs in it because quite frankly
3,you're not going to get that level of
3,attention it's just the PI only has so
3,many hours in a day and they have other
3,postdocs and other commitments that they
3,have to worry about so my lab I have
3,seven postdocs all together in this lab
3,I'm one of seven and I get to meet with
3,my PI infrequently sometimes but really
3,I get one hour a week to meet with her
3,that's about it now I'm okay with that
3,but not everybody is okay with that so
3,that's something to keep in mind another
3,thing to keep in mind is of the postdocs
3,that they have and again this is gonna
3,vary if they have one or two or if they
3,have ten the post-sex that they've had
3,how successful have they been do they
3,publish and high-impact journals do they
3,secure grants do they find faculty
3,positions or positions in industry or at
3,NIH you know wherever you want to go if
3,you want to go to industry and your goal
3,is to go to industry but you apply to
3,person access lab because they publish
3,your papers and they all get academic
3,positions well that may not be the best
3,fit because that he I doesn't have
3,experience getting her postdocs or his
3,postdocs into industry so you need to
3,find a postdoc that has a proven track
3,record for what your specific goals are
3,so my specific goal is to eventually
3,have my own lab so when I applied for
3,postdocs
3,I looked at P is that had postdocs that
3,successfully published in high-impact
3,papers and I'm sorry in high-impact
3,journals P is that had post X that
3,successfully secured F and K level
3,funding and postdocs that successfully
3,transitioned into independent faculty
3,members because that's what my goal is
3,if they haven't done that with others
3,there's no guarantee they'll be able to
3,do it with you
3,so that's something to keep in mind so
3,you have gone and you have updated your
3,CV you've discussed with your PI what
3,field you want to go and and kind of
3,what institute you want to go to and you
3,guys have come to a consensus and now
3,you've narrowed down a list of some
3,posts our positions that you would like
3,to apply for how do you go about apply
3,there's two ways the first way is to
3,look at job sites so if you go to
3,indeed.com or any of these other job
3,sites you might see some postdoc
3,positions offered there or to go to
3,school or department websites that may
3,be advertising that Professor Y or
3,professor a B is looking for a postdoc
3,position and these are the
3,qualifications that we're looking for
3,the second way which is the way that I
3,took and I think a lot of people take is
3,to inquire that is to say I am
3,interested in joining this person's lap
3,they don't have anything necessarily
3,listed but I'm going to send them an
3,email and say you know my name is
3,whatever and I'm interested in joining
3,your lab this is the way that I went and
3,I think a lot of people do go so when
3,you go to send these emails what should
3,you say so the first thing you need to
3,do is introduce yourself say you know my
3,name is Justin and I'm interested in
3,joining your lab you need to give some
3,background about yourself
3,so I come from University acts and
3,blanks laboratory and this is sort of
3,what I studied and then the most
3,important thing is you need to tie it
3,back to their lab they're going to get
3,so many people emailing them saying I
3,want to join your lab and what it looks
3,like is it's just a general spam email
3,that you sent to 50 different people you
3,need to tailor it to each person so
3,my name is John Doe and I studied breast
3,cancer at UCLA and in dr. J DS lab my
3,research was in metastasis I'm
3,interested in joining your lab because
3,you do blank work with metastasis and I
3,find it really interesting it can be as
3,simple as that but what you need to do
3,is let them know that you've at least
3,read some of the papers from their lab
3,and that you have a general idea of what
3,it is that their lab does that goes such
3,a long way I cannot stress that enough
3,if you don't do that they are very
3,likely to just throw out the email that
3,you sent you really really need to
3,stress to them this is what it is that
3,you're interested in their specific lab
3,you also need to include your CV and I
3,would find it useful to also include
3,three professional references so one is
3,going to have to be your PI and then two
3,more typically people that are on your
3,committee or your grad school advisor or
3,your department chair but people that
3,are familiar with you and your research
3,would be the best choices and so then
3,you need to send out to multiple people
3,and then you have to wait and what
3,you're gonna find is you're gonna get
3,different responses you're gonna get
3,some that are gonna say I just don't
3,have funding right now I'm sorry and
3,that's fine funding is very hard and so
3,I myself applied and one lab told me
3,that they didn't quite have funding so
3,they they weren't sure whether they can
3,fund me for the whole amount of time
3,that I wanted to be in their lab some
3,will say that they're interested and
3,that they want to interview you and some
3,may just say no or may not get back to
3,you and again that's also fine not
3,everybody is going to be accepted to
3,every lab they apply to even if you're a
3,stellar candidate for whatever reason
3,the P I may not need another postdoc you
3,may not be able to afford another
3,postdoc you may not even have space for
3,another post
3,so just keep that in mind and don't take
3,it personally that's why you're gonna
3,apply to more than one so I would say at
3,least a minimum of five places is where
3,you should apply at least five now the
3,other thing to keep in mind is that this
3,is our process so once you send out an
3,email by the time you finally get
3,someone that says okay I'm willing to
3,take you for an interview you go for an
3,interview they give you a position or
3,offer you a position and you start a
3,laugh it's going to take time so don't
3,expect to start applying for postdoc
3,positions and then within a month you
3,have a job it's not gonna go that fast
3,so give it at least three four five even
3,six months time so also consider that
3,when you're planning your defense that
3,it's going to take time then the last
3,part of course then is the interview and
3,so what is the interview typically
3,consist of so the interview is going to
3,consist of giving a presentation to the
3,lab either over Skype or in person
3,sometimes the whole department is
3,invited and then getting to meet with
3,the postdocs and that are in the lab and
3,getting to meet with the PI that are in
3,the lab now this is a very important
3,thing there are questions that you
3,undoubtedly should ask the postdocs in
3,the lab and the PI and there are so many
3,people I know that are unhappy with the
3,labs that they joined because they did
3,not ask these questions and they wish
3,that they did I was fortunate enough to
3,have someone give me advice before I
3,went for my interviews so I knew to ask
3,these questions so what should you ask
3,of the postdocs first let's start there
3,so the first thing you should obviously
3,ask is what do you think of life in the
3,lab and believe me the postdocs will be
3,very honest with you I don't think many
3,postdocs that hate life in the lab are
3,gonna tell you that it's fantastic
3,they'll at least give signs that they're
3,unhappy so kind of look for subtleties
3,and what they say but for the most part
3,I think they'll be straightforward ask
3,what is life like in the lab you know
3,how many hours a day are you working are
3,you often working weekends are you often
3,working late at night
3,what tends to be the expectations of the
3,postdocs in the lab you know are you
3,expected to publish a nature paper in
3,the first couple years these are
3,important things to ask the postdocs how
3,does everyone in the lab get a log
3,that's an important one a lot of times
3,the PI doesn't know how everybody in the
3,lab gets along and you want to go
3,somewhere that everyone seems to get
3,along because the last thing you need
3,when you're struggling to get through a
3,postdoc because they have other post-sex
3,in the lab that don't get along they
3,argue it just is not a good experience
3,ask them how do you think of your PI
3,compared to other PI's at the Institute
3,I love my PI and every postdoc in the
3,lab is gonna tell you that RPI is one of
3,our favorite professors in the Institute
3,if they don't say that that's not a good
3,sign if they say well you know mikey is
3,good but I I'd rather go to X or wise
3,lab instead I would have gone to there
3,like that that's not a good sign you
3,don't want to go to that lab and then
3,what are things that you need to ask the
3,PI how long are you able to fund me for
3,what are your expectations of postdocs
3,again what are their expectations do
3,they want you to publish a nature paper
3,in the first year or is it that they
3,want you to publish a paper within the
3,first three years you know be realistic
3,about what the expectations are what are
3,your expectations for me securing
3,funding so some labs you don't need to
3,get your own funding and in other labs
3,you have about a year to get funding or
3,they're gonna ask you to leave so what
3,are the expectations for funding
3,do you compete with postdocs when they
3,leave this is a important point you
3,don't want a pie
3,that's going to tell you when you leave
3,that you can't take any of the work that
3,you did you can't take any of the
3,reagents you can't take any of the ideas
3,that it belongs to the lab that's not
3,good
3,you want a pie that's going to say when
3,you graduate or not when you graduate
3,when you're done with your postdoc that
3,you can take your ideas and reagents
3,with you and I'm not going to compete in
3,that area with you and that is so
3,crucial so make sure you find out about
3,that beforehand ask what is the success
3,rate with your postdocs in finding the
3,position that they want how can you help
3,me if I have trouble with X or Y ask
3,these questions I'll be honest with you
3,and it's gonna go a long way into
3,ensuring that you really are in the best
3,position for you and what I want to
3,stress by that everybody wants to go to
3,Harvard or Stanford etc further postdoc
3,but that's not going to be the best
3,position for everybody example at
3,Harvard most people have to have their
3,own funding but if you're not quite
3,ready enough yet to secure your own
3,funding it's not gonna be a successful
3,time for you some people need to have
3,someone that could teach them
3,experiments because they are a little
3,slower learning experimental techniques
3,and that's fine but if you're in a big
3,lab with a lot of postdocs the PIA is
3,not gonna have time to teach you
3,techniques you're gonna have to learn on
3,your own or rely on other postdocs so
3,knowing what your needs are you need to
3,ask specific questions to the PI that
3,you're thinking about joining their lab
3,to make sure that you get the most out
3,of the lab that you go to
3,and that's about it for this video I
3,hope that this helps this is a very
3,individual topic everyone has their own
3,needs and wants in a lab I wanted to go
3,to a top Institute in the top lab that
3,publishes top papers I know a lot of
3,people do but there's also a lot of
3,people that would like to go there but
3,don't quite have not the skill set but
3,there's different things that are not
3,readily apparent to them so there are
3,people that don't do well in big labs
3,they really they thrive in a smaller lab
3,environment going to Harvard you won't
3,find a small lab environment and you
3,might be more successful in a different
3,Institute with a smaller lab and there
3,are other Institute's than Harvard
3,that's a very important thing to stress
3,just because you don't go to Harvard or
3,Stanford or UCLA is not the end of the
3,world you could be successful postdoc at
3,many Institute's and I will stress that
3,the lab that you come from is just as
3,important as the Institute itself you
3,need to look for a PI as well it's
3,better to go to a big-name person in a
3,tier 2 school then to go to a Tier one
3,school with a brand new P I that just
3,got their first ro one so keep that in
3,mind but overall I hope that this helps
3,clear up some of the stuff that you're
3,gonna need to accomplish so just to
3,recap the first thing you need to do is
3,get your CV in order the second step is
3,you need to talk to your PI and kind of
3,come to a consensus about what's
3,appropriate to you you need to send out
3,applications have good interviews and
3,and hopefully your pie will be able to
3,help you to prepare for these interviews
3,and practice your presentations and then
3,you need to ask the right questions of
3,both the postdocs in the lab and the PI
3,whose lab you're thinking about joining
3,and again I really can't stress this
3,enough you need to think about what is
3,best for you every person that's
3,applying for a postdoc is different but
3,I promise you there are so many postdocs
3,out there there are postdocs available
3,for everybody
3,there are even postdocs and Industry NIH
3,there's all kinds of opportunities out
3,there you really need to think about
3,what is best for you so with that thank
3,you again for watching the video don't
3,forget to Like subscribe and I'll catch
3,you in the next one bye
4,hi everybody welcome back to my channel
4,before you continue watching please make
4,sure you hit the like button and
4,subscribe today we're gonna talk about
4,slumps in grad school and I think this
4,is a very common problem that goes
4,untalked about so when you look at a
4,written dissertation or a senior grad
4,student or postdoc present their
4,research you tend to think that their
4,research was a straight line they had a
4,hypothesis based on previously published
4,work they tested it experimentally then
4,they got the result and they discuss how
4,it fits into the broader picture that's
4,not really the way research works the
4,way research works is a lot of zigs zags
4,circles changing directions trying to
4,come up with new hypotheses on the fly
4,that's that's the truth of the matter
4,we're very good at making our research
4,look linear but it really is hardly ever
4,linear like that and so because of that
4,what you're going to have is a lot of
4,grad students that are going to come
4,into grad school that were probably
4,straight-a students or at the very least
4,a mix of a B grades so they did well
4,they probably did well and a lot of
4,things that they've done in life and
4,they're not used to failure and the one
4,thing you have to learn about grad
4,school and that's particularly doing
4,research is failure is something that is
4,going to happen I remember my department
4,chair when I was a grad student said
4,that only 9 percent of scientific
4,experiments work and for a grad student
4,that's in their first year it's probably
4,only a fraction of that that it's
4,probably true when you do research
4,you're going to fail over and over and
4,over again you're going to do
4,experiments that give no results you're
4,gonna do experiments that give
4,contradictory results you're gonna spin
4,in circles and you have to get used to
4,this you have to get over it the people
4,that finish grad school are not always
4,the smartest but what they are are the
4,people that can persevere you have to
4,persevere
4,when I was in my first year of grad
4,school I really wanted to drop out I
4,actually had a real conversation with my
4,parents that grad school is not for me
4,and that I want to drop out and this is
4,what I want to do instead and I think a
4,lot of people have this kind of thought
4,at least that maybe grad school is not
4,for me maybe I made a mistake coming
4,here
4,maybe it's not worth it but I promise
4,you that it is and I promise you that
4,you're not alone and feeling like this
4,you're definitely not alone and feeling
4,like this the overwhelming amount of
4,grad students will at some point feel
4,like I made a mistake or what in the
4,world am I doing here
4,this is just it's not worth it but I
4,promise you that it will be and if you
4,keep her severe and you can get through
4,it so the things that you can do to get
4,through it one is assess the situation
4,is the problem the lab or is it
4,something that's going on with you for
4,me when I was in my first year I
4,definitely thought it was me but then as
4,I looked at it I realized I was in a
4,really toxic lab environment the pee I
4,was not good the senior grad student was
4,toxic there was a lot of yelling telling
4,people that they're stupid that they
4,don't deserve to be here things like
4,this and it wasn't a good environment
4,and so because of that I changed to a
4,new lab and as a grad student or postdoc
4,it's okay to change labs it's not
4,uncommon it's something that does happen
4,but make sure that if you change that it
4,really is because you need a change of
4,setting if it's well I can't do a
4,Western blot so I'm hoping if I change
4,labs and go to another lab I'll be able
4,to do a Western blot that's probably not
4,gonna happen but if there is a toxic
4,environment think about changing labs
4,but if that isn't the case which
4,probably it isn't then these are the
4,things I want you to keep in mind first
4,of all I'm not sure where this thought
4,came from I'm not even sure that it's
4,"real but they say that it takes 10,000"
4,hours of practicing something before you
4,can truly master it and whether it's
4,"10,000 hours or 8,000 or whatever the"
4,number is that's true of science - no
4,one's going to walk into a lab and be
4,perfect at experiments even the best
4,scientists
4,practice so continue practicing keep
4,doing work you will get better at doing
4,experiments you will get better at
4,troubleshooting your experiments and
4,figuring out where you went wrong you
4,will get better at designing experiments
4,it will come you just have to keep
4,practicing my second piece of advice is
4,to not only rely on your pee I talked to
4,other grad students and postdocs you'd
4,be surprised how willing they probably
4,will be in helping you and they're the
4,ones that are currently doing research a
4,lot of PI's haven't sat at the bench for
4,quite some time and they don't know
4,everything that's going on and they
4,can't always remember clearly what it
4,was like when they were a grad student
4,or what they were doing as a postdoc so
4,talk to people that are currently at the
4,bench they're your best option by far
4,and with that set paid forward when you
4,are senior grad student and someone
4,comes to make sure you're willing to
4,help them remember what it was like when
4,you were in junior grad student and
4,that's probably the best advice I could
4,give you this is gonna be a rather short
4,video but really the point of putting
4,this out is to let people know that
4,you're not alone that other people feel
4,depressed feel that they're questioning
4,themselves on whether they really should
4,be in grad school or whether they want
4,to continue and there are people that
4,drop out every year there's someone from
4,every department that drops out it seems
4,but you don't have to be that person you
4,can keep working and you can do
4,excellent work just keep trying that's
4,the best advice that I can give you just
4,keep trying so with that I want to say
4,thanks for watching make sure to hit
